obj_id,ra,dec,filter,mjd,snr,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF20aaynrrh,185.4603444,4.4816516,ztfr,59157.53278939985,14.828410402034114,1,ZTF,,,,1508447,"[1, 3, 43, 61, 20]",,17.714799880981445,0.07321999967098236,ab,19.179399490356445
ZTF20aaynrrh,185.4603836,4.4817068,ztfr,59157.537476900034,16.428892271932597,1,ZTF,,,,1508489,"[1, 3, 43, 61, 20]",,17.638399124145508,0.06608700007200241,ab,19.062000274658203
ZTF20aaynrrh,185.4603172,4.4817011,ztfr,59157.54215280013,13.641444685864837,1,ZTF,,,,1508576,"[1, 3, 43, 61, 20]",,17.655500411987305,0.07959099858999254,ab,19.126300811767578
ZTF20aaynrrh,185.4603582,4.4816806,ztfr,59157.54682870023,16.18858702035989,1,ZTF,,,,1994260,"[1, 3, 43, 61, 20]",,17.611499786376953,0.06706800311803818,ab,18.999799728393555
ZTF20aaynrrh,185.4603586,4.4816848,ztfr,59163.53208329994,17.27630720577725,1,ZTF,,,,1994261,"[1, 3, 43, 61, 20]",,17.70316505432129,0.0628453865647316,ab,19.595115661621094
ZTF20aaynrrh,185.4603563,4.4816976,ztfr,59163.53675930016,16.584594047732082,1,ZTF,,,,1994685,"[1, 3, 43, 61, 20]",,17.71622657775879,0.06546655297279358,ab,19.605628967285156
ZTF20aaynrrh,185.4603615,4.4816814,ztfr,59163.54143519979,15.18271150064934,1,ZTF,,,,1994843,"[1, 3, 43, 61, 20]",,17.75525665283203,0.07151135057210922,ab,19.540700912475586
ZTF20aaynrrh,185.4603389,4.4816962,ztfr,59163.546122699976,14.854581275759545,1,ZTF,,,,1996030,"[1, 3, 43, 61, 20]",,17.776899337768555,0.07309100031852722,ab,19.417200088500977
ZTF20aaynrrh,185.4603611,4.4817009,ztfr,59163.550798600074,19.131641882295497,1,ZTF,,,,1996031,"[1, 3, 43, 61, 20]",,17.723058700561523,0.056750811636447906,ab,19.292022705078125
ZTF20aaynrrh,185.4603488,4.4817011,ztfr,59165.53436340019,17.81677340140024,1,ZTF,,,,2213124,"[1, 3, 43, 61, 20]",,17.816692352294922,0.060938991606235504,ab,19.966970443725586
ZTF20aaynrrh,185.4603478,4.4816925,ztfr,59165.53903939994,17.221221526346174,1,ZTF,,,,2213701,"[1, 3, 43, 61, 20]",,17.747337341308594,0.0630464106798172,ab,19.867292404174805
ZTF20aaynrrh,185.4603546,4.4817027,ztfr,59165.54371530004,26.17274357436297,1,ZTF,,,,2215823,"[1, 3, 43, 61, 20]",,17.77243423461914,0.04148346930742264,ab,19.91266441345215
ZTF20aaynrrh,185.4603502,4.4817046,ztfr,59165.54839120014,20.36684297333016,1,ZTF,,,,2219778,"[1, 3, 43, 61, 20]",,17.807825088500977,0.05330900847911835,ab,19.800228118896484
